"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,c,c1,c2,d,d1,d2,e1,e2
48,STRĂINĂTATE,ROMANIA,9999,BUCUREȘTI,"BIROUL ELECTORAL PENTRU VOTUL PRIN CORESPONDENȚĂ NR. 1",1,"Alegeri Prezidentiale prin corespondenta",1,0,5206,4971,235,4971,4971,0,4971,4820,151,4631,189
48,STRĂINĂTATE,ROMANIA,9999,BUCUREȘTI,"BIROUL ELECTORAL PENTRU VOTUL PRIN CORESPONDENȚĂ NR. 2",2,"Alegeri Prezidentiale prin corespondenta",1,0,5243,4749,494,4749,4739,10,4739,4609,130,4450,159
48,STRĂINĂTATE,ROMANIA,9999,BUCUREȘTI,"BIROUL ELECTORAL PENTRU VOTUL PRIN CORESPONDENȚĂ NR. 3",3,"Alegeri Prezidentiale prin corespondenta",1,0,5211,4636,575,4636,4504,132,4636,4504,132,4315,189
48,STRĂINĂTATE,"AFRICA DE SUD",9999,PRETORIA,PRETORIA,3,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,"AFRICA DE SUD",9999,"CAPE TOWN","CAPE TOWN",4,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,"ARABIA SAUDITA",9999,RIAD,RIAD,8,"Alegeri Prezidentiale prin corespondenta",2,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,AUSTRALIA,9999,CANBERRA,CANBERRA,11,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,AUSTRALIA,9999,MELBOURNE,MELBOURNE,12,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,AUSTRALIA,9999,SYDNEY,SYDNEY,15,"Alegeri Prezidentiale prin corespondenta",1,0,5,5,0,5,5,0,5,5,0,4,1
48,STRĂINĂTATE,AUSTRIA,9999,VIENA,VIENA,18,"Alegeri Prezidentiale prin corespondenta",1,0,76,74,2,74,74,0,74,74,0,71,3
48,STRĂINĂTATE,BELGIA,9999,BRUXELLES,BRUXELLES,39,"Alegeri Prezidentiale prin corespondenta",1,0,176,165,11,165,165,0,165,163,2,155,8
48,STRĂINĂTATE,BRAZILIA,9999,BRASILIA,BRASILIA,61,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,BRAZILIA,9999,"RIO DE JANEIRO","RIO DE JANEIRO",62,"Alegeri Prezidentiale prin corespondenta",1,0,1,1,0,1,1,0,1,1,0,1,0
48,STRĂINĂTATE,BULGARIA,9999,SOFIA,SOFIA,63,"Alegeri Prezidentiale prin corespondenta",1,0,1,1,0,1,1,0,1,1,0,1,0
48,STRĂINĂTATE,CANADA,9999,OTTAWA,OTTAWA,64,"Alegeri Prezidentiale prin corespondenta",2,0,6,6,0,6,6,0,6,5,1,5,0
48,STRĂINĂTATE,CANADA,9999,VANCOUVER,VANCOUVER,68,"Alegeri Prezidentiale prin corespondenta",1,0,6,6,0,6,6,0,6,4,2,4,0
48,STRĂINĂTATE,CANADA,9999,MONTREAL,MONTREAL,69,"Alegeri Prezidentiale prin corespondenta",1,0,25,21,4,21,20,1,21,20,1,19,1
48,STRĂINĂTATE,CANADA,9999,TORONTO,TORONTO,71,"Alegeri Prezidentiale prin corespondenta",2,0,32,32,0,32,32,0,32,32,0,32,0
48,STRĂINĂTATE,"REPUBLICA CEHA",9999,PRAGA,PRAGA,73,"Alegeri Prezidentiale prin corespondenta",1,0,7,6,1,6,6,0,6,6,0,6,0
48,STRĂINĂTATE,COLUMBIA,9999,BOGOTA,BOGOTA,75,"Alegeri Prezidentiale prin corespondenta",2,0,1,1,0,1,1,0,1,1,0,1,0
48,STRĂINĂTATE,"REPUBLICA COREEA",9999,SEOUL,SEOUL,77,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,CHILE,9999,"SANTIAGO DE CHILE","SANTIAGO DE CHILE",78,"Alegeri Prezidentiale prin corespondenta",1,0,1,1,0,1,1,0,1,1,0,1,0
48,STRĂINĂTATE,CHINA,9999,BEIJING,BEIJING,80,"Alegeri Prezidentiale prin corespondenta",1,0,1,1,0,1,1,0,1,1,0,1,0
48,STRĂINĂTATE,CHINA,9999,SHANGHAI,SHANGHAI,81,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,CHINA,9999,"HONG KONG","HONG KONG",82,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,CIPRU,9999,NICOSIA,NICOSIA,83,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,DANEMARCA,9999,COPENHAGA,COPENHAGA,91,"Alegeri Prezidentiale prin corespondenta",1,0,51,49,2,49,49,0,49,48,1,45,3
48,STRĂINĂTATE,EGIPT,9999,CAIRO,CAIRO,103,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,ELVETIA,9999,BERNA,BERNA,106,"Alegeri Prezidentiale prin corespondenta",1,0,201,201,0,201,194,7,194,194,0,189,5
48,STRĂINĂTATE,"EMIRATELE ARABE UNITE",9999,"ABU DHABI","ABU DHABI",112,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,"EMIRATELE ARABE UNITE",9999,DUBAI,DUBAI,113,"Alegeri Prezidentiale prin corespondenta",1,0,4,4,0,4,4,0,4,4,0,4,0
48,STRĂINĂTATE,FINLANDA,9999,HELSINKI,HELSINKI,118,"Alegeri Prezidentiale prin corespondenta",1,0,13,13,0,13,13,0,13,13,0,13,0
48,STRĂINĂTATE,FRANTA,9999,PARIS,PARIS,121,"Alegeri Prezidentiale prin corespondenta",1,0,104,96,8,96,95,1,96,95,1,93,2
48,STRĂINĂTATE,FRANTA,9999,LYON,LYON,154,"Alegeri Prezidentiale prin corespondenta",1,0,20,20,0,20,20,0,20,20,0,20,0
48,STRĂINĂTATE,FRANTA,9999,STRASBOURG,STRASBOURG,160,"Alegeri Prezidentiale prin corespondenta",1,0,20,19,1,19,19,0,19,19,0,19,0
48,STRĂINĂTATE,FRANTA,9999,MARSILIA,MARSILIA,163,"Alegeri Prezidentiale prin corespondenta",1,0,3,3,0,3,3,0,3,3,0,3,0
48,STRĂINĂTATE,GERMANIA,9999,BERLIN,BERLIN,172,"Alegeri Prezidentiale prin corespondenta",1,0,90,86,4,86,86,0,86,86,0,84,2
48,STRĂINĂTATE,GERMANIA,9999,BONN,BONN,186,"Alegeri Prezidentiale prin corespondenta",1,0,31,31,0,31,29,2,29,28,1,27,1
48,STRĂINĂTATE,GERMANIA,9999,STUTTGART,STUTTGART,206,"Alegeri Prezidentiale prin corespondenta",1,0,12,12,0,12,12,0,12,12,0,12,0
48,STRĂINĂTATE,GERMANIA,9999,MÜNCHEN,MÜNCHEN,228,"Alegeri Prezidentiale prin corespondenta",1,0,169,157,12,157,157,0,157,157,0,157,0
48,STRĂINĂTATE,GRECIA,9999,ATENA,ATENA,252,"Alegeri Prezidentiale prin corespondenta",2,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,GRECIA,9999,SALONIC,SALONIC,261,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,INDIA,9999,"NEW DELHI","NEW DELHI",264,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,"REPUBLICA INDONEZIA",9999,JAKARTA,JAKARTA,265,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,IRLANDA,9999,DUBLIN,DUBLIN,273,"Alegeri Prezidentiale prin corespondenta",1,0,55,55,0,55,55,0,55,54,1,52,2
48,STRĂINĂTATE,ISRAEL,9999,"TEL AVIV","TEL AVIV",282,"Alegeri Prezidentiale prin corespondenta",1,0,1,1,0,1,1,0,1,1,0,1,0
48,STRĂINĂTATE,ISRAEL,9999,HAIFA,HAIFA,285,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,ITALIA,9999,ROMA,ROMA,287,"Alegeri Prezidentiale prin corespondenta",1,0,23,22,1,22,20,2,20,20,0,19,1
48,STRĂINĂTATE,ITALIA,9999,TRIESTE,TRIESTE,309,"Alegeri Prezidentiale prin corespondenta",1,0,3,2,1,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,ITALIA,9999,BARI,BARI,329,"Alegeri Prezidentiale prin corespondenta",1,0,1,1,0,1,1,0,1,1,0,1,0
48,STRĂINĂTATE,ITALIA,9999,BOLOGNA,BOLOGNA,345,"Alegeri Prezidentiale prin corespondenta",1,0,12,10,2,10,10,0,10,10,0,10,0
48,STRĂINĂTATE,ITALIA,9999,CATANIA,CATANIA,371,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,ITALIA,9999,MILANO,MILANO,377,"Alegeri Prezidentiale prin corespondenta",2,0,8,8,0,8,8,0,8,8,0,8,0
48,STRĂINĂTATE,ITALIA,9999,TORINO,TORINO,397,"Alegeri Prezidentiale prin corespondenta",2,0,9,9,0,9,8,1,9,8,1,7,1
48,STRĂINĂTATE,JAPONIA,9999,TOKYO,TOKYO,432,"Alegeri Prezidentiale prin corespondenta",1,0,8,8,0,8,7,1,7,7,0,7,0
48,STRĂINĂTATE,KAZAHSTAN,9999,NUR-SULTAN,NUR-SULTAN,433,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,LUXEMBURG,9999,LUXEMBURG,LUXEMBURG,439,"Alegeri Prezidentiale prin corespondenta",1,0,53,52,1,52,52,0,52,51,1,51,0
48,STRĂINĂTATE,MALAEZIA,9999,"KUALA LUMPUR","KUALA LUMPUR",443,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,MAROC,9999,RABAT,RABAT,446,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,MEXIC,9999,"CIUDAD DE MÉXICO","CIUDAD DE MÉXICO",447,"Alegeri Prezidentiale prin corespondenta",1,0,6,6,0,6,5,1,5,5,0,5,0
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CHIȘINĂU,CHIȘINĂU,448,"Alegeri Prezidentiale prin corespondenta",1,0,10,10,0,10,10,0,10,10,0,10,0
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,BĂLȚI,BĂLȚI,470,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,UNGHENI,UNGHENI,472,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,"REPUBLICA MOLDOVA",9999,CAHUL,CAHUL,479,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,NORVEGIA,9999,OSLO,OSLO,486,"Alegeri Prezidentiale prin corespondenta",1,0,12,12,0,12,11,1,11,11,0,10,1
48,STRĂINĂTATE,OLANDA,9999,HAGA,HAGA,502,"Alegeri Prezidentiale prin corespondenta",1,0,80,76,4,76,76,0,76,74,2,73,1
48,STRĂINĂTATE,POLONIA,9999,VARŞOVIA,VARŞOVIA,526,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,1,1,1,1,0,1,0
48,STRĂINĂTATE,PORTUGALIA,9999,LISABONA,LISABONA,530,"Alegeri Prezidentiale prin corespondenta",1,0,5,5,0,5,4,1,4,4,0,3,1
48,STRĂINĂTATE,QATAR,9999,DOHA,DOHA,539,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,"REGATUL UNIT AL MARII BRITANII SI IRLANDEI DE NORD",9999,LONDRA,LONDRA,542,"Alegeri Prezidentiale prin corespondenta",2,0,256,232,24,232,232,0,232,227,5,224,3
48,STRĂINĂTATE,"REGATUL UNIT AL MARII BRITANII SI IRLANDEI DE NORD",9999,MANCHESTER,MANCHESTER,585,"Alegeri Prezidentiale prin corespondenta",2,0,43,38,5,38,38,0,38,38,0,37,1
48,STRĂINĂTATE,"REGATUL UNIT AL MARII BRITANII SI IRLANDEI DE NORD",9999,EDINBURGH,EDINBURGH,604,"Alegeri Prezidentiale prin corespondenta",2,0,11,11,0,11,11,0,11,11,0,9,2
48,STRĂINĂTATE,"FEDERATIA RUSA",9999,MOSCOVA,MOSCOVA,612,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,SERBIA,9999,BELGRAD,BELGRAD,616,"Alegeri Prezidentiale prin corespondenta",1,0,1,1,0,1,1,0,1,1,0,1,0
48,STRĂINĂTATE,"REPUBLICA SINGAPORE",9999,SINGAPORE,SINGAPORE,620,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,SLOVACIA,9999,BRATISLAVA,BRATISLAVA,623,"Alegeri Prezidentiale prin corespondenta",1,0,1,1,0,1,1,0,1,1,0,1,0
48,STRĂINĂTATE,SPANIA,9999,MADRID,MADRID,624,"Alegeri Prezidentiale prin corespondenta",1,0,27,27,0,27,27,0,27,27,0,25,2
48,STRĂINĂTATE,SPANIA,9999,BARCELONA,BARCELONA,665,"Alegeri Prezidentiale prin corespondenta",1,0,3,3,0,3,2,1,2,2,0,2,0
48,STRĂINĂTATE,SPANIA,9999,SEVILLA,SEVILLA,686,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,0,2,0,0,0,0,0
48,STRĂINĂTATE,SPANIA,9999,BILBAO,BILBAO,704,"Alegeri Prezidentiale prin corespondenta",1,0,3,3,0,3,3,0,3,3,0,3,0
48,STRĂINĂTATE,SPANIA,9999,ZARAGOZA,ZARAGOZA,717,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,SPANIA,9999,"CIUDAD REAL","CIUDAD REAL",723,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,SPANIA,9999,ALMERIA,ALMERIA,736,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,SPANIA,9999,"CASTELLON DE LA PLANA","CASTELLON DE LA PLANA",748,"Alegeri Prezidentiale prin corespondenta",1,0,9,9,0,9,9,0,9,9,0,9,0
48,STRĂINĂTATE,SUA,9999,"WASHINGTON D.C.","WASHINGTON D.C.",768,"Alegeri Prezidentiale prin corespondenta",1,0,32,31,1,31,31,0,31,31,0,31,0
48,STRĂINĂTATE,SUA,9999,"CHICAGO , ILLINOIS","CHICAGO , ILLINOIS",773,"Alegeri Prezidentiale prin corespondenta",1,0,7,5,2,5,5,0,5,5,0,5,0
48,STRĂINĂTATE,SUA,9999,"LOS ANGELES , CALIFORNIA","LOS ANGELES , CALIFORNIA",783,"Alegeri Prezidentiale prin corespondenta",1,0,23,22,1,22,18,4,18,18,0,18,0
48,STRĂINĂTATE,SUA,9999,"MIAMI, FLORIDA","MIAMI, FLORIDA",794,"Alegeri Prezidentiale prin corespondenta",1,0,7,7,0,7,7,0,7,7,0,7,0
48,STRĂINĂTATE,SUA,9999,"NEW YORK","NEW YORK",800,"Alegeri Prezidentiale prin corespondenta",1,0,24,24,0,24,24,0,24,24,0,24,0
48,STRĂINĂTATE,SUEDIA,9999,STOCKHOLM,STOCKHOLM,807,"Alegeri Prezidentiale prin corespondenta",1,0,44,43,1,43,43,0,44,42,2,41,1
48,STRĂINĂTATE,TURCIA,9999,ANKARA,ANKARA,816,"Alegeri Prezidentiale prin corespondenta",1,0,1,1,0,1,1,0,1,0,1,0,0
48,STRĂINĂTATE,TURCIA,9999,IZMIR,IZMIR,817,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,TURCIA,9999,ISTANBUL,ISTANBUL,818,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,UCRAINA,9999,KIEV,KIEV,821,"Alegeri Prezidentiale prin corespondenta",1,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,UNGARIA,9999,BUDAPESTA,BUDAPESTA,825,"Alegeri Prezidentiale prin corespondenta",1,0,2,2,0,2,2,0,2,2,0,2,0
48,STRĂINĂTATE,UNGARIA,9999,GYULA,GYULA,829,"Alegeri Prezidentiale prin corespondenta",2,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,UNGARIA,9999,SZEGED,SZEGED,830,"Alegeri Prezidentiale prin corespondenta",2,0,0,0,0,0,0,0,0,0,0,0,0
48,STRĂINĂTATE,VIETNAM,9999,HANOI,HANOI,834,"Alegeri Prezidentiale prin corespondenta",1,0,1,1,0,1,1,0,1,1,0,1,0
